NACA 0012H
   1.0000000      0.0012600
   0.9989727      0.0014040
   0.9958950      0.0018345
   0.9907796      0.0025464
   0.9836474      0.0035315
   0.9745279      0.0047786
   0.9634584      0.0062740
   0.9504844      0.0080016
   0.9356594      0.0099433
   0.9190441      0.0120794
   0.9007068      0.0143891
   0.8807230      0.0168508
   0.8591747      0.0194419
   0.8361504      0.0221398
   0.8117449      0.0249211
   0.7860583      0.0277625
   0.7591963      0.0306400
   0.7312691      0.0335295
   0.7023917      0.0364060
   0.6726825      0.0392440
   0.6422638      0.0420172
   0.6112605      0.0446981
   0.5797999      0.0472586
   0.5480115      0.0496696
   0.5160258      0.0519012
   0.4839742      0.0539231
   0.4519885      0.0557049
   0.4202001      0.0572168
   0.3887395      0.0584299
   0.3577362      0.0593169
   0.3273175      0.0598529
   0.2976083      0.0600162
   0.2687309      0.0597885
   0.2408037      0.0591559
   0.2139417      0.0581095
   0.1882551      0.0566451
   0.1638496      0.0547640
   0.1408253      0.0524724
   0.1192770      0.0497818
   0.0992932      0.0467080
   0.0809559      0.0432708
   0.0643406      0.0394930
   0.0495156      0.0353996
   0.0365416      0.0310170
   0.0254721      0.0263713
   0.0163526      0.0214881
   0.0092204      0.0163907
   0.0041050      0.0110996
   0.0010273      0.0056318
   0.0000000      0.0000000
   0.0010273     -0.0056318
   0.0041050     -0.0110996
   0.0092204     -0.0163907
   0.0163526     -0.0214881
   0.0254721     -0.0263713
   0.0365416     -0.0310170
   0.0495156     -0.0353996
   0.0643406     -0.0394930
   0.0809559     -0.0432708
   0.0992932     -0.0467080
   0.1192770     -0.0497818
   0.1408253     -0.0524724
   0.1638496     -0.0547640
   0.1882551     -0.0566451
   0.2139417     -0.0581095
   0.2408037     -0.0591559
   0.2687309     -0.0597885
   0.2976083     -0.0600162
   0.3273175     -0.0598529
   0.3577362     -0.0593169
   0.3887395     -0.0584299
   0.4202001     -0.0572168
   0.4519885     -0.0557049
   0.4839742     -0.0539231
   0.5160258     -0.0519012
   0.5480115     -0.0496696
   0.5797999     -0.0472586
   0.6112605     -0.0446981
   0.6422638     -0.0420172
   0.6726825     -0.0392440
   0.7023917     -0.0364060
   0.7312691     -0.0335295
   0.7591963     -0.0306400
   0.7860583     -0.0277625
   0.8117449     -0.0249211
   0.8361504     -0.0221398
   0.8591747     -0.0194419
   0.8807230     -0.0168508
   0.9007068     -0.0143891
   0.9190441     -0.0120794
   0.9356594     -0.0099433
   0.9504844     -0.0080016
   0.9634584     -0.0062740
   0.9745279     -0.0047786
   0.9836474     -0.0035315
   0.9907796     -0.0025464
   0.9958950     -0.0018345
   0.9989727     -0.0014040
   1.0000000     -0.0012600
